Id,Label,timeset,d3,d2,d1,d0,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1.00,1.00,,Eng Computation & Data Science,13.25,true,1,1,12,13,2,0.772727,0.852941,16.5
1.000,1.000,,Comp Programming for Eng Apps,5.75,true,1,1,5,6,2,0.692308,0.777778,10
1.007,1.007,,Big Engineering,0,true,1,0,0,0,0,0,0,0
1.010,1.010,,Uncertainty in Engineering,5.666667,true,1,1,7,8,2,0.705882,0.791667,20.5
1.011,1.011,,Project Evaluation & Managemnt,2.833333,true,1,0,2,2,2,0.583333,0.642857,0
1.013,1.013,,Civil Engr Design Project,0,true,1,1,0,1,0,0,0,0
2.017,2.017,,Design Electromech Robotic Sys,4.333333,true,2,6,1,7,3,0.5,0.533333,33.833333
2.00C,2.00C,,Design for Envir Issues,0,true,2,0,0,0,0,0,0,0
1.018A,1.018A,,Fundamentals of Ecology I,2.666667,true,1,0,2,2,2,0.666667,0.75,0
1.018B,1.018B,,Fundamentals of Ecology II,1,true,1,1,1,2,1,1,1,1
1.020,1.020,,Engineering Sustainability,1,true,1,4,1,5,1,1,1,5.333333
3.021,3.021,,Intro to Modeling & Simulation,0,true,3,3,0,3,0,0,0,0
1.022,1.022,,Introduction to Network Models,0,true,1,5,0,5,0,0,0,0
1.032,1.032,,Advanced Soil Mechanics,4.5,true,1,3,5,8,1,1,1,45
1.035,1.035,,Multiscale Character of Mats,3.416667,true,1,2,3,5,3,0.45,0.574074,17
1.036,1.036,,Structural Mechanics & Design,1.833333,true,1,2,1,3,2,0.545455,0.583333,24
1.037,1.037,,Soil Mech and Geotech Design,0,true,1,0,0,0,0,0,0,0
1.041,1.041,,Transportation Systms Modeling,0,true,1,3,0,3,0,0,0,0
4.42,4.42,,Fund of Energy in Buildings,0,true,4,2,0,2,0,0,0,0
1.050,1.050,,Solid Mechanics,5.875,true,1,2,5,7,3,0.5,0.628205,22.5
2.003,2.003,,Dynamics and Control I,36.203704,true,2,3,17,20,3,0.487805,0.586111,92.907937
1.054,1.054,,Mech & Dsgn:Concrete Strctures,0,true,1,1,0,1,0,0,0,0
4.440,4.440,,Building Structural Systems I,1.5,true,4,1,2,3,1,1,1,4
1.057,1.057,,Heritage Science and Technolog,0,true,1,1,0,1,0,0,0,0
1.058,1.058,,Structural Dynamics,0,true,1,2,0,2,0,0,0,0
1.060A,1.060A,,Fluid Mechanics I,20.666667,true,1,2,4,6,5,0.380282,0.461111,58.25
1.060B,1.060B,,Fluid Mechanics II,12.333333,true,1,1,5,6,4,0.5,0.597222,46.25
1.061,1.061,,Transport Processes in Envir,4.333333,true,1,1,4,5,2,0.833333,0.9,26
1.061A,1.061A,,Transport Processes I,3.333333,true,1,1,2,3,3,0.5,0.611111,6
18.354,18.354,,Nonlinr Dynamics:Continuum Sys,4,true,18,3,3,6,1,1,1,11.8
1.064,1.064,,Physical Limnology,0,true,1,1,0,1,0,0,0,0
1.068,1.068,,Nonlinear Dynamics Turbulence,0,true,1,1,0,1,0,0,0,0
1.070A,1.070A,,Intro: Hydro & Water Resources,3,true,1,2,1,3,2,0.6,0.666667,16
1.070B,1.070B,,Intro to Hydrology Modeling,2,true,1,1,2,3,1,1,1,12
1.071,1.071,,Global Change Science,0,true,1,1,0,1,0,0,0,0
1.072,1.072,,Groundwater Hydrology,0.333333,true,1,1,1,2,1,1,1,3
1.073,1.073,,Into. Env. Data Anlysis,0,true,1,1,0,1,0,0,0,0
1.074,1.074,,Multivariate Data Analysis,0,true,1,1,0,1,0,0,0,0
1.075,1.075,,Water Resource Systems,0,true,1,2,0,2,0,0,0,0
1.78,1.78,,Intro to Soil Science,0,true,1,0,0,0,0,0,0,0
1.079,1.079,,Visual of Flow: Pourous Media,0,true,1,7,0,7,0,0,0,0
1.080A,1.080A,,Environmental Chemistry I,1.666667,true,1,1,2,3,2,0.75,0.833333,2
1.080B,1.080B,,Environmental Chemistry II,0,true,1,1,0,1,0,0,0,0
20.104,20.104,,Envir Cncr Rsk Prvntn Therapy,0,true,20,3,0,3,0,0,0,0
10.01,10.01,,Ethics for Engineers,0.333333,true,10,0,1,1,1,1,1,0
20.106,20.106,,Systems Microbiology,0,true,20,2,0,2,0,0,0,0
1.085,1.085,,Air Pollution,0,true,1,1,0,1,0,0,0,0
1.087,1.087,,Fund of Network & Comm Ecology,0,true,1,1,0,1,0,0,0,0
1.089,1.089,,Environmental Microbiology,0,true,1,1,0,1,0,0,0,0
1.089A,1.089A,,Env Microbiology I,0,true,1,2,0,2,0,0,0,0
1.091,1.091,,Traveling Research Environment,1,true,1,1,1,2,1,1,1,1
1.092,1.092,,Traveling Rsch Envir Exper,0,true,1,1,0,1,0,0,0,0
1.097,1.097,,Intro to CEE Research,0,true,1,0,0,0,0,0,0,0
1.101,1.101,,Civil & Envir Engr Design I,0,true,1,0,0,0,0,0,0,0
1.102,1.102,,Civil & Envir Engr Design II,0,true,1,2,0,2,0,0,0,0
1.106,1.106,,Env Fluid Trnsp Proc & Hyd Lab,0.333333,true,1,1,1,2,1,1,1,2
1.107,1.107,,Envir Chemistry & Biology Lab,0.333333,true,1,3,1,4,1,1,1,2
1.124,1.124,,Software &Computation Simulatn,1,false,1,2,1,3,1,1,1,0
1.125,1.125,,Arch & Eng Software Sys,0,false,1,3,0,3,0,0,0,0
MAS.622,MAS.622,,Pattern Recognition & Analysis,0,false,MAS,1,0,1,0,0,0,0
2.089,2.089,,Computational Geometry,0,false,2,1,0,1,0,0,0,0
2.062,2.062,,Wave Propagation,0,false,2,2,0,2,0,0,0,0
15.094,15.094,,"Robust Modeling, Optmzn & Comp",0,false,15,2,0,2,0,0,0,0
IDS.332,IDS.332,,Engr Sys Analysis for Design,0,false,IDS,1,0,1,0,0,0,0
1.151,1.151,,Probability & Stats in Eng,0.5,false,1,1,1,2,1,1,1,1
1.153,1.153,,Transportation Policy,0,true,1,1,0,1,0,0,0,0
1.200,1.200,,Transport  Systems Analysis,0,false,1,2,0,2,0,0,0,0
1.201,1.201,,Transport Syst: Demand & Econ,3,false,1,1,2,3,2,0.75,0.833333,0
1.202,1.202,,Demand Modeling,1,false,1,2,1,3,1,1,1,1
15.073,15.073,,Applied Prob & Stochastic Mdls,0,false,15,1,0,1,0,0,0,0
1.204,1.204,,Computer Modeling,0,false,1,3,0,3,0,0,0,0
1.205,1.205,,Advanced Demand Modeling,0,false,1,2,0,2,0,0,0,0
1.207,1.207,,Computer Algorithms,0,false,1,2,0,2,0,0,0,0
1.208,1.208,,Resil. Infrastructure  Control,0,false,1,3,0,3,0,0,0,0
1.231,1.231,,Planning & Design:Airport Sys,0,false,1,1,0,1,0,0,0,0
16.71,16.71,,Airline Industry,2,false,16,0,2,2,1,1,1,0
16.763,16.763,,Air  Trans Operations Research,0,false,16,4,0,4,0,0,0,0
16.75,16.75,,Airline Management,0,false,16,1,0,1,0,0,0,0
11.526,11.526,,Comparative Land Use,0,false,11,1,0,1,0,0,0,0
1.252,1.252,,Urban Transportation Planning,0,false,1,1,0,1,0,0,0,0
1.254,1.254,,Transport Modeling Course,0,false,1,1,0,1,0,0,0,0
1.258,1.258,,Public Transportation Systems,0,false,1,2,0,2,0,0,0,0
SCM.260,SCM.260,,Logistics Systems,8,false,SCM,1,6,7,2,0.8,0.875,2
SCM.261,SCM.261,,Logistics & Supply Chain Mgmt,2,false,SCM,1,1,2,2,0.666667,0.75,0
SCM.265,SCM.265,,Global Supply Chain Mgmt,1,false,SCM,5,1,6,1,1,1,10
1.27,1.27,,Studies in Transportion,0,false,1,1,0,1,0,0,0,0
15.764,15.764,,Theory of Operations Mgmt,0,false,15,3,0,3,0,0,0,0
15.762,15.762,,Supply Chain Planning,0,false,15,2,0,2,0,0,0,0
15.763,15.763,,Mfg Sys & Supply Chain Design,0,false,15,3,0,3,0,0,0,0
IDS.305,IDS.305,,Business& Operations Analytics,0,false,IDS,1,0,1,0,0,0,0
11.481,11.481,,Analyzing Regional Econ Change,1,false,11,2,1,3,1,1,1,5
11.482,11.482,,Reg Socioecon Impact Analyses,0,false,11,2,0,2,0,0,0,0
11.165,11.165,,Energy & Infrastructure Tech,0,false,11,3,0,3,0,0,0,0
1.322,1.322,,Soil Behavior,0,false,1,1,0,1,0,0,0,0
1.331,1.331,,Advanced Soil Dynamics,0,false,1,1,0,1,0,0,0,0
1.351,1.351,,Theoretical Soil Mechanics,0,false,1,1,0,1,0,0,0,0
1.364,1.364,,Adv Geotechnical Engineering,0,false,1,1,0,1,0,0,0,0
1.37,1.37,,Geotech Msrmt & Exploration,0,false,1,1,0,1,0,0,0,0
1.38,1.38,,Engineering Geology,1.5,false,1,1,2,3,1,1,1,1
1.381,1.381,,Rock Mechanics,0,false,1,2,0,2,0,0,0,0
1.383,1.383,,Underground Construction,0,false,1,3,0,3,0,0,0,0
1.39,1.39,,Ind Study in Geotechnical Engr,0,false,1,1,0,1,0,0,0,0
11.345,11.345,,Entrprnrshp in Constr & RE Dev,0,false,11,1,0,1,0,0,0,0
11.344,11.344,,Innovative Project Delivery,0,false,11,1,0,1,0,0,0,0
1.545,1.545,,Atomstic Mod& Sim: Mat& Struct,0,false,1,1,0,1,0,0,0,0
1.562,1.562,,Structural Des Proj I,0,false,1,0,0,0,0,0,0,0
