Department,Subject,Master Subject,Title,Level,Pre/Co-Requisites
1,1,1,Eng Computation & Data Science,U,GIR:CAL1
1,1,1,Comp Programming for Eng Apps,U,[18.03]
1,1.001,1,Eng Computation & Data Science,G,GIR:CAL1
1,1.007,1.007,Big Engineering,U,
1,1.01,1.01,Uncertainty in Engineering,U,GIR:CAL2
1,1.011,1.011,Project Evaluation & Managemnt,U,
1,1.013,1.013,Civil Engr Design Project,U,Permission of instructor
1,1.015,2.017,Design Electromech Robotic Sys,U,"2.003; [2.005, 2.05 and 2.051, or 2.016; 2.671]"
1,1.016,2.00C,Design for Envir Issues,U,
1,1.018A,1.018A,Fundamentals of Ecology I,U,
1,1.018B,1.018B,Fundamentals of Ecology II,U,1.018A
1,1.02,1.02,Engineering Sustainability,U,GIR:PHY1; 18.03; 1.00 or 1.000
1,1.021,3.021,Intro to Modeling & Simulation,U,"18.03, 3.016, or permission of instructor"
1,1.022,1.022,Introduction to Network Models,U,1.00 or 1.000; 18.03; 1.010; or permission of instructor
1,1.032,1.032,Advanced Soil Mechanics,U,"1.010, 1.011, 1.036"
1,1.035,1.035,Multiscale Character of Mats,U,"1.050, 18.03"
1,1.036,1.036,Structural Mechanics & Design,U,"1.035, 1.050"
1,1.037,1.037,Soil Mech and Geotech Design,U,
1,1.041,1.041,Transportation Systms Modeling,U,1.00 or 1.000; 1.010
1,1.044,4.42,Fund of Energy in Buildings,U,"GIR:PHY1, GIR:CAL2"
1,1.05,1.05,Solid Mechanics,U,GIR:PHY1; [GIR:CAL2]
1,1.053,2.003,Dynamics and Control I,U,Physics II; [18.03 or 2.087]
1,1.054,1.054,Mech & Dsgn:Concrete Strctures,U,1.035
1,1.056,4.44,Building Structural Systems I,U,GIR:CAL2
1,1.057,1.057,Heritage Science and Technolog,U,Permission of instructor
1,1.058,1.058,Structural Dynamics,U,18.03 or permission of instructor
1,1.060A,1.060A,Fluid Mechanics I,U,Permission of instructor or [18.03]
1,1.060B,1.060B,Fluid Mechanics II,U,1.060A
1,1.061,1.061,Transport Processes in Envir,U,1.060B
1,1.061A,1.061A,Transport Processes I,U,1.060A
1,1.062,18.354,Nonlinr Dynamics:Continuum Sys,U,18.03 or 18.032; GIR:PHY2
1,1.064,1.064,Physical Limnology,U,1.061
1,1.068,1.068,Nonlinear Dynamics Turbulence,U,1.060A
1,1.070A,1.070A,Intro: Hydro & Water Resources,U,1.060A; [1.061A]
1,1.070B,1.070B,Intro to Hydrology Modeling,U,1.070A
1,1.071,1.071,Global Change Science,U,18.03
1,1.072,1.072,Groundwater Hydrology,U,1.061
1,1.073,1.073,Into. Env. Data Anlysis,U,1.01
1,1.074,1.074,Multivariate Data Analysis,U,1.01
1,1.075,1.075,Water Resource Systems,U,1.070B or permission of instructor
1,1.078,1.78,Intro to Soil Science,U,
1,1.079,1.079,Visual of Flow: Pourous Media,U,"GIR:PHY2, 1.050, 1.060B; 1.000, 1.00, or 6.00; or permission of instructor"
1,1.080A,1.080A,Environmental Chemistry I,U,GIR:CHEM
1,1.080B,1.080B,Environmental Chemistry II,U,1.080A
1,1.081,20.104,Envir Cncr Rsk Prvntn Therapy,U,"GIR:CAL2, GIR:BIOL, GIR:CHEM"
1,1.082,10.01,Ethics for Engineers,U,
1,1.084,20.106,Systems Microbiology,U,"GIR:CHEM, GIR:BIOL"
1,1.085,1.085,Air Pollution,U,18.03
1,1.087,1.087,Fund of Network & Comm Ecology,U,18.06
1,1.089,1.089,Environmental Microbiology,U,GIR:BIOL
1,1.089A,1.089A,Env Microbiology I,U,GIR:BIOL or permission of instructor
1,1.091,1.091,Traveling Research Environment,U,Permission of instructor
1,1.092,1.092,Traveling Rsch Envir Exper,U,1.091
1,1.097,1.097,Intro to CEE Research,U,
1,1.101,1.101,Civil & Envir Engr Design I,U,
1,1.102,1.102,Civil & Envir Engr Design II,U,GIR:PHY2; or [1.060B] and permission of instructor
1,1.106,1.106,Env Fluid Trnsp Proc & Hyd Lab,U,[1.061A]
1,1.107,1.107,Envir Chemistry & Biology Lab,U,1.018A or permission of instructor; [1.080A]
1,1.124,1.124,Software &Computation Simulatn,G,1.00 or permission of instructor
1,1.125,1.125,Arch & Eng Software Sys,G,"1.00, 1.124J, or permission of instructor"
1,1.126,MAS.622,Pattern Recognition & Analysis,G,Permission of instructor
1,1.128,2.089,Computational Geometry,G,Permission of instructor
1,1.138,2.062,Wave Propagation,G,"2.003, 18.075"
1,1.142,15.094,"Robust Modeling, Optmzn & Comp",G,18.06 or permission of instructor
1,1.146,IDS.332,Engr Sys Analysis for Design,G,Permission of instructor
1,1.151,1.151,Probability & Stats in Eng,G,Permission of instructor
1,1.153,1.153,Transportation Policy,U,1.011
1,1.2,1.2,Transport  Systems Analysis,G,"1.010, permission of instructor"
1,1.201,1.201,Transport Syst: Demand & Econ,G,Permission of instructor
1,1.202,1.202,Demand Modeling,G,1.201 or permission of instructor
1,1.203,15.073,Applied Prob & Stochastic Mdls,G,6.041B
1,1.204,1.204,Computer Modeling,G,"1.001, 1.010; or permission of instructor"
1,1.205,1.205,Advanced Demand Modeling,G,1.202 or permission of instructor
1,1.207,1.207,Computer Algorithms,G,1.001 or permission of instructor
1,1.208,1.208,Resil. Infrastructure  Control,G,1.151 or 6.431B; 15.093
1,1.231,1.231,Planning & Design:Airport Sys,G,Permission of instructor
1,1.232,16.71,Airline Industry,G,
1,1.233,16.763,Air  Trans Operations Research,G,"16.71, 6.431B, 15.093, or permission of instructor"
1,1.234,16.75,Airline Management,G,16.71J
1,1.251,11.526,Comparative Land Use,G,Permission of Instructor
1,1.252,1.252,Urban Transportation Planning,G,Permission of instructor
1,1.253,1.153,Transportation Policy,G,Permission of instructor
1,1.254,1.254,Transport Modeling Course,G,Permission of instructor
1,1.258,1.258,Public Transportation Systems,G,1.201 or permission of instructor
1,1.26,SCM.260,Logistics Systems,G,Permission of instructor
