Id,Label,timeset,indegree,outdegree,Degree,modularity_class
6.058,6.058,,14,0,14,1
M,M,,0,1663,1663,2
CMS.611,CMS.611,,9,0,9,0
E,E,,0,1645,1645,2
6.061,6.061,,2,0,2,4
21G.S05,21G.S05,,0,0,0,0
21G.S06,21G.S06,,0,0,0,0
21W.015,21W.015,,0,0,0,0
6.070,6.070,,0,0,0,0
1,1,,0,720,720,0
21G.S07,21G.S07,,0,0,0,0
6.08,6.08,,8,0,8,1
I,I,,0,1685,1685,2
7.931,7.931,,8,0,8,2
21G.S08,21G.S08,,0,0,0,0
6,6,,0,292,292,0
P,P,,0,1646,1646,2
21G.THT,21G.THT,,8,0,8,2
21G.S04,21G.S04,,0,0,0,0
21G.THU,21G.THU,,6,0,6,1
R,R,,0,1683,1683,2
L,L,,0,53,53,1
21G.UR,21G.UR,,0,0,0,0
21W.016,21W.016,,0,0,0,0
6.101,6.101,,4,0,4,0
11.801,11.801,,2,1,3,3
2,2,,0,512,512,0
21G.URG,21G.URG,,0,0,0,0
O,O,,0,1637,1637,2
6.111,6.111,,6,0,6,0
6.1151,6.1151,,7,0,7,0
18.968,18.968,,6,0,6,0
21G.503,21G.503,,14,0,14,0
.,.,,0,919,919,0
S,S,,0,1660,1660,2
21G.504,21G.504,,15,0,15,0
21W.021,21W.021,,0,0,0,0
21G.505,21G.505,,15,0,15,0
21G.501,21G.501,,0,0,0,0
4.592,4.592,,8,0,8,2
3,3,,0,291,291,0
21G.506,21G.506,,14,0,14,0
20.345,20.345,,16,0,16,4
21G.027,21G.027,,15,0,15,0
4,4,,0,319,319,0
6.129,6.129,,2,0,2,4
21G.502,21G.502,,0,0,0,0
IDS.435,IDS.435,,0,0,0,0
6.1311,6.1311,,6,0,6,0
21G.064,21G.064,,15,0,15,0
0,0,,0,669,669,0
21A.410,21A.410,,0,0,0,0
8.223,8.223,,2,0,2,4
21G.065,21G.065,,15,0,15,0
6.146,6.146,,0,0,0,0
EC.110,EC.110,,0,0,0,0
N,N,,0,1634,1634,2
18.994,18.994,,6,0,6,0
21G.094,21G.094,,15,0,15,0
5,5,,0,288,288,0
21G.063,21G.063,,15,0,15,0
21G.601,21G.601,,0,0,0,0
8,8,,0,261,261,0
21G.597,21G.597,,0,0,0,0
14.64,14.64,,13,0,13,0
21G.611,21G.611,,0,0,0,0
21W.031,21W.031,,0,0,0,0
21G.612,21G.612,,13,1,14,3
21G.613,21G.613,,2,1,3,3
14.662,14.662,,2,0,2,3
4.540,4.540,,0,0,0,0
21G.614,21G.614,,2,0,2,3
21G.077,21G.077,,14,0,14,0
21G.700,21G.700,,8,0,8,2
21G.701,21G.701,,0,0,0,0
4.489,4.489,,8,0,8,2
21G.702,21G.702,,14,0,14,0
21G.703,21G.703,,14,0,14,0
21G.704,21G.704,,15,0,15,0
GIR:CAL2,GIR:CAL2,,0,47,47,4
21H.134,21H.134,,0,0,0,0
6.141,6.141,,14,0,14,1
6.148,6.148,,8,0,8,2
6.147,6.147,,0,0,0,0
6.149,6.149,,0,0,0,0
:,:,,0,65,65,1
6.151,6.151,,0,0,0,0
CMS.992,CMS.992,,13,0,13,2
6.163,6.163,,13,0,13,1
6.161,6.161,,4,0,4,0
6.169,6.169,,4,0,4,0
17.266,17.266,,8,1,9,2
6.170,6.170,,2,0,2,1
4.491,4.491,,8,0,8,2
16.322,16.322,,4,0,4,1
6.172,6.172,,3,0,3,1
6.176,6.176,,0,0,0,0
6.175,6.175,,4,0,4,0
14.74,14.74,,2,0,2,3
7,7,,0,179,179,0
6.177,6.177,,0,0,0,0
G,G,,0,136,136,1
6.178,6.178,,0,0,0,0
6.179,6.179,,0,0,0,0
6.182,6.182,,0,0,0,0
16.343,16.343,,8,0,8,2
11.402,11.402,,0,0,0,0
14.15,14.15,,7,0,7,0
6.231,6.231,,5,0,5,1
21G.708,21G.708,,8,1,9,3
PERMISSION,PERMISSION,,0,90,90,3
21G.710,21G.710,,0,0,0,0
1.022,1.022,,12,0,12,1
4.URG,4.URG,,0,0,0,0
3.URG,3.URG,,0,0,0,0
21G.709,21G.709,,9,0,9,3
16.346,16.346,,5,0,5,0
4.492,4.492,,8,0,8,2
21G.711,21G.711,,15,0,15,0
1.032,1.032,,3,0,3,4
21G.712,21G.712,,15,0,15,0
21G.715,21G.715,,15,0,15,0
15.081J,15.081J,,0,1,1,12
A,A,,0,78,78,1
21G.713,21G.713,,15,0,15,0
C,C,,0,67,67,1
GIR:PHY1,GIR:PHY1,,0,39,39,4
21G.714,21G.714,,0,0,0,0
21G.731,21G.731,,0,2,2,3
21L.637,21L.637,,0,0,0,0
21L.636,21L.636,,0,0,0,0
21G.735,21G.735,,0,2,2,3
21L.638,21L.638,,0,0,0,0
9,9,,0,96,96,0
24.THG,24.THG,,8,0,8,2
T,T,,0,25,25,1
21G.732,21G.732,,0,0,0,0
11.406,11.406,,0,0,0,0
H,H,,0,41,41,1
1.035,1.035,,2,1,3,4
21G.736,21G.736,,0,0,0,0
21L.639,21L.639,,0,0,0,0
6.117,6.117,,0,0,0,0
5.00,5.00,,0,0,0,0
11.407,11.407,,8,0,8,2
6.241,6.241,,2,0,2,4
4.493,4.493,,8,0,8,2
6.245,6.245,,6,0,6,0
6.249,6.249,,8,0,8,2
14.473,14.473,,4,0,4,0
6.248,6.248,,11,0,11,2
15.677,15.677,,8,0,8,2
6.251,6.251,,5,0,5,0
6.252,6.252,,4,0,4,1
6.254,6.254,,6,0,6,0
6.261,6.261,,8,0,8,2
6.260,6.260,,8,0,8,2
6.256,6.256,,5,0,5,0
1.037,1.037,,0,0,0,0
6.262,6.262,,9,1,10,0
15.070,15.070,,12,0,12,0
5.04,5.04,,4,3,7,4
6.263,6.263,,8,0,8,0
4.494,4.494,,8,0,8,2
3.54,3.54,,5,0,5,0
21G.782,21G.782,,14,0,14,0
3.53,3.53,,4,0,4,0
21G.793,21G.793,,14,0,14,0
21G.801,21G.801,,0,0,0,0
21G.795,21G.795,,15,0,15,0
SCM.262,SCM.262,,13,0,13,2
4.42,4.42,,2,0,2,4
21G.802,21G.802,,14,0,14,0
21G.803,21G.803,,14,0,14,0
17.100,17.100,,8,0,8,2
21G.804,21G.804,,15,0,15,0
3.57,3.57,,8,0,8,2
21G.820,21G.820,,15,0,15,0
21G.821,21G.821,,15,0,15,0
14.999,14.999,,5,0,5,0
10.37,10.37,,2,3,5,4
21G.880,21G.880,,15,0,15,0
21G.901,21G.901,,0,0,0,0
CC.801,CC.801,,5,0,5,1
SCM.266,SCM.266,,7,0,7,0
6.267,6.267,,7,0,7,0
6.268,6.268,,2,0,2,1
3.692,3.692,,8,0,8,2
6.302,6.302,,6,1,7,0
6.301,6.301,,5,0,5,0
6.332,6.332,,8,0,8,2
STS.419,STS.419,,8,0,8,2
6.333,6.333,,8,0,8,2
11.304,11.304,,8,0,8,2
SCM.267,SCM.267,,7,0,7,0
18.336,18.336,,17,0,17,0
11.906,11.906,,0,0,0,0
6.334,6.334,,5,0,5,0
18.335,18.335,,6,0,6,0
3.691,3.691,,8,0,8,2
18.337,18.337,,6,0,6,0
STANDING,STANDING,,0,2,2,5
6.344,6.344,,2,0,2,1
6.341,6.341,,4,1,5,0
6.347,6.347,,8,0,8,2
6.345,6.345,,2,0,2,1
6.348,6.348,,8,0,8,2
SCM.269,SCM.269,,0,0,0,0
21G.902,21G.902,,14,0,14,0
6.374,6.374,,2,0,2,1
3.693,3.693,,0,0,0,0
21G.903,21G.903,,14,0,14,0
9.301,9.301,,8,0,8,2
21G.138,21G.138,,0,0,0,0
6.375,6.375,,4,0,4,0
